date,precipitation_sum,rain_sum,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,shortwave_radiation_sum,sunshine_duration,target
2023-01-01,18.4,18.4,18.4,11.7,33.9,3.9,16962.52,1
2023-01-02,0.1,0.1,15.2,8.5,11.0,8.33,27320.48,1
2023-01-03,0.0,0.0,14.9,7.1,13.6,9.83,32410.75,0
2023-01-04,0.0,0.0,14.3,7.7,15.5,9.99,32725.95,0
2023-01-05,0.0,0.0,14.2,8.1,12.8,9.83,32697.7,0
2023-01-06,0.0,0.0,15.6,8.1,14.0,7.21,24703.96,0
2023-01-07,9.1,9.1,16.4,14.5,30.6,2.73,4229.21,1
2023-01-08,4.0,4.0,17.2,15.1,28.9,4.49,12978.45,1
2023-01-09,1.3,1.3,17.6,12.0,19.4,7.27,25200.0,1
2023-01-10,0.8,0.8,17.2,12.9,11.7,5.77,17189.6,1
2023-01-11,2.3,2.3,16.8,10.7,17.9,9.37,32527.85,1
2023-01-12,0.0,0.0,15.4,8.1,10.9,10.27,32400.0,0
2023-01-13,0.0,0.0,16.2,8.4,7.6,9.61,32786.5,0
2023-01-14,0.1,0.1,14.3,9.6,7.3,5.18,7366.86,1
2023-01-15,0.3,0.3,14.2,9.7,19.3,9.18,30271.96,1
2023-01-16,0.8,0.8,15.2,12.4,27.6,7.68,32400.0,1
2023-01-17,1.8,1.8,14.8,10.2,32.8,7.55,29050.83,1
2023-01-18,0.2,0.2,12.3,9.2,25.5,8.87,33956.6,1
2023-01-19,0.8,0.8,13.4,6.9,22.0,5.08,13573.1,1
2023-01-20,0.6,0.6,16.9,12.9,20.3,7.88,26623.4,1
2023-01-21,0.0,0.0,16.7,12.4,25.4,8.86,34507.66,0
2023-01-22,0.0,0.0,12.4,8.1,18.4,11.69,34911.89,0
2023-01-23,0.0,0.0,13.6,6.2,17.9,11.89,34980.15,0
2023-01-24,0.0,0.0,11.2,5.8,20.7,11.91,35049.04,0
2023-01-25,0.0,0.0,11.3,5.1,18.3,12.0,35118.46,0
2023-01-26,0.2,0.2,13.1,4.3,30.3,9.33,32981.49,1
2023-01-27,0.0,0.0,13.6,6.1,22.6,12.02,35258.56,0
2023-01-28,0.0,0.0,11.8,6.2,20.2,12.41,35329.04,0
2023-01-29,0.0,0.0,11.4,4.8,18.9,12.54,35399.67,0
2023-01-30,0.0,0.0,12.1,4.3,17.1,12.72,35470.38,0
2023-01-31,0.0,0.0,13.2,5.3,14.8,12.86,35541.06,0
2023-02-01,0.0,0.0,12.6,3.8,10.6,12.85,35611.64,0
2023-02-02,0.0,0.0,13.1,5.6,14.0,13.08,35682.02,0
2023-02-03,0.0,0.0,15.4,6.2,14.3,13.26,35752.11,0
2023-02-04,0.0,0.0,17.4,7.4,14.2,13.5,35821.84,0
2023-02-05,0.0,0.0,16.6,7.7,19.2,13.76,35891.11,0
2023-02-06,0.0,0.0,17.5,6.9,12.3,13.78,35959.86,0
